sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
350,4,7,0,B,217,396,156,170,46,200,534,161,123,29,36,52,5,175,402,117,167,28,106,581,188,128,32,19,42,6
351,5,6,0,B,155,369,68,94,36,133,453,183,124,20,20,50,6,170,348,116,176,29,105,601,142,128,25,13,55,7
352,6,5,0,A,156,327,89,107,32,121,510,143,130,33,31,54,5,138,307,114,143,31,135,521,148,163,32,9,37,6
353,8,3,0,A,232,433,92,116,33,153,553,186,105,31,22,50,5,210,412,108,136,19,116,629,200,103,17,10,71,4
354,4,7,0,B,194,417,115,153,34,152,517,191,104,23,19,46,2,164,332,69,137,30,106,514,187,116,24,22,41,4
355,4,6,1,B,203,421,79,122,40,148,595,169,103,30,16,40,4,213,378,96,135,25,89,569,148,128,33,20,66,4
356,4,7,0,B,188,405,110,150,33,126,531,192,97,27,22,48,4,199,410,117,145,44,126,504,150,103,32,19,41,3
357,3,8,0,B,165,385,92,122,37,148,618,145,91,25,20,45,4,202,393,107,140,41,141,435,158,124,31,16,62,7
358,5,6,0,B,166,435,85,114,32,145,506,175,99,36,21,52,7,205,388,83,126,31,131,548,165,108,43,17,41,3
359,6,5,0,A,209,437,107,148,30,129,492,176,94,42,23,50,4,188,396,88,127,36,118,519,163,117,31,14,49,2
360,4,6,1,B,220,430,93,115,43,146,555,161,100,20,22,52,4,213,392,94,130,29,111,524,175,131,34,23,44,4
361,8,2,1,A,175,426,110,139,42,185,506,205,127,32,20,38,4,209,350,98,142,29,119,472,154,103,26,17,60,4
362,5,6,0,B,168,359,105,118,30,141,521,183,89,23,19,48,7,195,377,92,119,42,122,471,199,113,20,11,41,5
363,3,8,0,B,207,453,132,162,35,156,524,154,127,23,22,42,2,207,403,82,129,37,118,440,168,128,25,16,34,4
364,6,4,1,A,217,400,87,119,41,157,541,191,112,34,25,49,5,189,338,82,137,25,133,473,179,133,34,14,48,6
365,6,4,1,A,206,375,68,119,33,114,456,193,84,22,18,44,4,198,384,98,145,22,136,542,169,115,17,26,49,4
366,7,4,0,A,199,390,90,127,46,134,448,161,99,19,26,45,6,183,347,103,148,25,107,510,150,120,33,12,52,2
367,6,5,0,A,177,392,85,110,36,152,464,169,131,41,22,69,8,164,366,92,117,43,133,446,191,128,17,20,48,6
368,6,5,0,A,226,406,91,104,25,124,518,169,86,23,29,53,4,185,349,106,140,43,132,493,173,122,10,14,59,5
369,4,6,1,B,201,421,83,127,40,115,473,212,91,26,10,35,5,205,394,60,92,37,138,474,194,113,26,23,31,7
370,6,4,1,A,202,446,90,151,50,156,478,182,105,20,16,45,6,209,407,89,153,39,129,518,168,146,22,16,57,4
371,4,7,0,B,186,432,95,124,34,110,527,149,83,28,24,52,2,221,406,110,146,46,116,492,214,116,39,12,55,8
372,4,7,0,B,181,379,93,133,44,159,577,150,103,23,14,51,5,217,399,83,129,37,130,469,206,109,36,9,48,7
373,6,4,1,A,185,417,107,144,45,178,453,190,120,24,17,59,6,210,417,93,129,31,114,470,167,98,25,17,69,3
374,1,10,0,B,182,375,88,130,24,135,378,156,99,32,30,50,3,195,349,82,100,36,110,438,191,107,33,15,33,7
375,3,7,1,B,178,356,96,125,32,166,481,193,103,20,31,61,4,182,353,93,133,30,145,497,212,103,27,11,34,6
376,5,6,0,B,208,461,93,120,37,174,476,131,91,38,31,35,2,189,410,88,122,26,117,485,174,164,24,25,56,7
377,6,4,1,A,180,401,86,144,46,157,531,148,98,28,20,59,5,180,336,75,128,33,124,497,190,135,24,23,60,5
378,5,6,0,B,190,428,105,142,33,162,477,190,96,30,29,50,6,202,380,121,148,43,123,497,162,127,19,21,59,5
379,1,10,0,B,174,392,80,126,32,129,492,188,103,23,23,48,4,208,420,104,131,44,119,565,209,104,27,13,39,7
380,5,5,1,TIE,171,385,70,102,30,156,489,167,78,26,20,41,4,200,389,95,126,39,141,488,148,101,18,20,44,2
