matchup,team_a_name,team_b_name,n_simulations,team_a_wins,team_b_wins,ties,team_a_win_pct,team_b_win_pct,team_a_avg_cats_won,team_b_avg_cats_won,team_a_players,team_b_players,team_a_total_games,team_b_total_games
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,TEAM TOO ICEY BOY 12,500,16,473,11,0.032,0.946,2.798,7.916,12,13,31,31
BDE vs Burrito Barnes,BDE,Burrito Barnes,500,113,357,30,0.226,0.714,4.302,6.404,16,15,33,37
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,Cold Beans,500,68,411,21,0.136,0.822,3.866,6.894,13,14,31,33
Jay Stat vs Nadim the Dream,Jay Stat,Nadim the Dream,500,206,276,18,0.412,0.552,5.058,5.652,12,12,30,29
Enter the Dragon vs Team perez,Enter the Dragon,Team perez,500,51,431,18,0.102,0.862,3.89,6.876,13,15,28,37
LF da broccoli vs Team Menyo,LF da broccoli,Team Menyo,500,443,44,13,0.886,0.088,7.308,3.396,12,13,33,27
Team Boricua Squad vs KL2 LLC,Team Boricua Squad,KL2 LLC,500,119,348,33,0.238,0.696,4.37,6.306,9,13,23,28
