week,matchup_period,matchup_num,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev
7,2,1,11,TEAM TOO ICEY BOY 12,ICEY,21,Burrito Barnes,BUR
7,2,2,6,Cold Beans,win,20,Hardwood Hustlers,Yu
7,2,3,17,Nadim the Dream,NTD,15,BDE,ROSE
7,2,4,18,Team perez,PERE,12,IN MAMBA WE TRUST,KOBE
7,2,5,16,Team Menyo,YOUS,5,Jay Stat,FEZ
7,2,6,10,KL2 LLC,Hu,14,Enter the Dragon,ZHAN
7,2,7,8,Team Boricua Squad,DE L,19,LF da broccoli,BROC
