week,matchup_period,matchup_num,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev
3,1,1,20,Hardwood Hustlers,Yu,11,TEAM TOO ICEY BOY 12,ICEY
3,1,2,15,BDE,ROSE,21,Burrito Barnes,BUR
3,1,3,12,IN MAMBA WE TRUST,KOBE,6,Cold Beans,win
3,1,4,5,Jay Stat,FEZ,17,Nadim the Dream,NTD
3,1,5,14,Enter the Dragon,ZHAN,18,Team perez,PERE
3,1,6,19,LF da broccoli,BROC,16,Team Menyo,YOUS
3,1,7,8,Team Boricua Squad,DE L,10,KL2 LLC,Hu
