FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
14,4,7,7,4,2,20,12,3,0,0,1,1,2,1,Norman Powell
17,5,7,8,4,3,17,6,2,2,0,2,0,2,2,Norman Powell
12,5,9,5,3,3,18,6,2,2,1,1,0,2,0,Immanuel Quickley
9,3,4,4,3,0,7,5,2,0,0,3,0,2,1,Immanuel Quickley
8,4,8,3,2,2,10,5,4,0,0,1,0,2,2,Immanuel Quickley
6,3,2,2,2,0,6,9,1,0,0,0,0,2,0,Toumani Camara
7,2,4,5,0,0,1,2,7,0,2,0,0,2,1,Toumani Camara
13,1,2,4,1,0,12,6,0,0,1,1,0,2,2,Toumani Camara
10,3,6,6,2,0,16,7,0,0,0,0,0,2,0,Jabari Smith Jr.
15,1,7,9,0,2,22,3,2,0,0,0,0,2,1,Jabari Smith Jr.
12,1,2,8,0,1,13,8,1,1,0,4,0,2,2,Jabari Smith Jr.
8,2,2,4,1,0,7,5,1,1,1,1,0,2,0,Kyshawn George
4,2,5,1,1,1,11,4,3,1,0,2,0,2,1,Kyshawn George
7,3,2,4,2,0,14,4,1,1,1,4,0,2,2,Kyshawn George
7,3,5,2,2,1,20,5,1,1,0,0,0,2,0,Rui Hachimura
6,2,4,2,1,2,13,6,2,0,0,1,0,2,1,Rui Hachimura
12,1,3,7,0,1,11,3,1,1,1,0,0,2,2,Rui Hachimura
3,3,1,2,0,1,8,10,0,0,0,1,0,2,0,Moussa Diabate
2,1,1,1,1,0,8,4,0,0,0,0,0,2,1,Moussa Diabate
3,2,1,3,1,0,2,3,0,0,0,1,0,2,2,Moussa Diabate
5,1,4,2,0,0,8,10,4,2,1,0,0,3,0,Amen Thompson
9,2,2,3,1,0,8,6,4,0,1,3,0,3,1,Amen Thompson
9,3,2,2,2,0,17,4,3,1,1,3,0,3,2,Amen Thompson
7,2,8,5,2,2,12,9,3,1,0,0,0,3,0,Trey Murphy III
11,3,5,7,2,1,10,4,3,1,0,1,0,3,1,Trey Murphy III
10,2,4,6,1,0,7,4,2,0,0,0,0,3,2,Trey Murphy III
1,1,1,0,0,0,6,4,3,0,0,0,0,3,0,Dyson Daniels
6,1,1,2,1,0,2,4,3,4,0,2,0,3,1,Dyson Daniels
7,1,1,4,0,0,5,4,5,1,0,4,0,3,2,Dyson Daniels
14,5,12,5,4,4,19,4,0,1,0,1,0,3,0,Norman Powell
11,7,7,5,3,2,26,7,5,1,0,3,0,3,1,Norman Powell
18,5,6,6,3,5,17,10,0,0,0,3,1,3,2,Norman Powell
13,3,6,6,2,1,18,2,6,0,0,1,0,3,0,Immanuel Quickley
11,4,8,6,4,1,12,7,2,0,0,1,0,3,1,Immanuel Quickley
10,5,7,7,3,1,13,5,7,0,0,3,0,3,2,Immanuel Quickley
7,1,1,4,1,0,9,8,3,2,0,0,0,3,0,Toumani Camara
7,1,4,2,1,0,10,6,3,1,0,0,0,3,1,Toumani Camara
7,4,2,3,3,1,4,3,1,2,0,0,0,3,2,Toumani Camara
8,1,2,2,1,0,13,10,0,2,1,0,1,3,0,Jabari Smith Jr.
10,3,1,3,2,0,18,4,3,0,0,0,0,3,1,Jabari Smith Jr.
11,1,2,4,1,1,12,10,1,1,0,3,1,3,2,Jabari Smith Jr.
15,2,5,7,1,2,15,3,4,0,1,1,0,3,0,Kyshawn George
7,1,8,2,0,0,8,0,4,0,1,1,0,3,1,Kyshawn George
9,1,5,2,0,1,9,4,6,0,1,2,0,3,2,Kyshawn George
8,3,2,4,1,0,8,8,1,0,0,0,0,3,0,Rui Hachimura
6,2,3,4,1,1,11,3,2,0,0,2,0,3,1,Rui Hachimura
8,2,1,2,0,1,9,3,2,0,0,0,0,3,2,Rui Hachimura
4,1,1,2,1,0,9,7,0,1,0,2,0,3,0,Moussa Diabate
5,4,1,3,3,0,8,4,0,0,2,0,0,3,1,Moussa Diabate
1,1,1,0,1,0,9,3,0,1,0,0,0,3,2,Moussa Diabate
7,2,2,3,1,0,7,5,2,0,0,0,0,4,0,Amen Thompson
10,2,1,5,1,0,8,9,4,0,0,2,0,4,1,Amen Thompson
10,3,2,6,2,0,5,6,7,1,1,1,0,4,2,Amen Thompson
6,1,4,2,1,2,11,5,1,0,0,0,0,4,0,Trey Murphy III
12,1,7,7,1,2,15,2,1,0,0,1,0,4,1,Trey Murphy III
12,1,6,7,1,1,7,4,1,0,0,0,0,4,2,Trey Murphy III
2,1,6,0,0,0,3,3,3,1,0,3,0,4,0,Dyson Daniels
5,1,1,2,0,0,8,5,3,0,0,1,0,4,1,Dyson Daniels
3,1,2,0,0,0,4,4,7,0,0,1,0,4,2,Dyson Daniels
11,6,2,8,6,0,21,9,5,1,0,2,0,4,0,Norman Powell
14,6,5,7,4,3,22,4,4,0,0,2,0,4,1,Norman Powell
10,5,5,4,4,2,33,5,2,0,0,2,0,4,2,Norman Powell
9,4,1,2,4,0,12,4,5,1,0,6,0,4,0,Immanuel Quickley
12,2,8,5,1,3,11,6,5,0,0,1,0,4,1,Immanuel Quickley
11,1,3,5,1,1,11,2,5,1,0,1,0,4,2,Immanuel Quickley
7,2,6,6,1,1,8,7,1,1,0,3,0,4,0,Toumani Camara
10,3,8,3,3,3,9,5,1,1,0,1,0,4,1,Toumani Camara
8,2,8,1,2,1,6,7,2,0,0,0,0,4,2,Toumani Camara
15,1,5,9,1,1,4,4,1,1,1,0,0,4,0,Jabari Smith Jr.
13,1,2,7,1,0,14,4,0,0,0,0,0,4,1,Jabari Smith Jr.
16,2,8,5,0,1,14,5,0,1,0,2,0,4,2,Jabari Smith Jr.
6,3,6,2,1,1,13,8,2,1,0,0,0,4,0,Kyshawn George
9,1,2,5,1,0,4,4,2,1,0,1,0,4,1,Kyshawn George
8,3,7,2,1,2,9,6,1,1,2,1,0,4,2,Kyshawn George
7,1,7,4,0,2,9,6,0,0,0,1,0,4,0,Rui Hachimura
8,1,2,2,0,1,9,4,2,0,0,2,0,4,1,Rui Hachimura
8,1,5,5,1,2,15,8,2,0,0,0,0,4,2,Rui Hachimura
4,3,1,3,0,0,7,5,0,0,0,3,0,4,0,Moussa Diabate
5,2,1,1,0,0,9,5,0,0,2,1,0,4,1,Moussa Diabate
1,3,1,1,2,0,5,4,0,1,0,3,0,4,2,Moussa Diabate
10,1,2,3,0,0,15,4,3,2,1,2,0,5,0,Amen Thompson
5,3,5,3,3,0,9,3,2,0,0,0,0,5,1,Amen Thompson
12,3,1,9,3,0,14,5,5,1,1,2,0,5,2,Amen Thompson
10,1,8,5,1,1,9,6,0,0,0,1,0,5,0,Trey Murphy III
15,1,8,6,1,2,17,7,3,0,0,1,0,5,1,Trey Murphy III
12,2,8,7,1,3,13,7,3,1,0,2,0,5,2,Trey Murphy III
6,1,3,3,0,0,8,4,6,2,0,1,0,5,0,Dyson Daniels
5,1,1,2,0,0,3,4,2,3,0,3,0,5,1,Dyson Daniels
4,1,1,1,0,0,9,2,0,2,0,4,0,5,2,Dyson Daniels
11,3,6,4,3,2,22,5,5,0,0,2,0,5,0,Norman Powell
12,4,5,4,3,3,19,8,0,1,0,2,0,5,1,Norman Powell
10,4,11,6,3,4,17,2,3,0,2,1,0,5,2,Norman Powell
13,2,10,6,1,3,16,4,5,0,0,1,0,5,0,Immanuel Quickley
11,5,4,0,2,0,12,6,5,1,0,3,0,5,1,Immanuel Quickley
10,2,6,4,1,2,14,3,2,0,0,1,0,5,2,Immanuel Quickley
5,1,5,3,1,0,7,10,2,2,0,1,0,5,0,Toumani Camara
5,1,4,0,0,0,4,9,2,1,0,1,0,5,1,Toumani Camara
7,2,4,5,2,0,10,8,1,0,0,1,0,5,2,Toumani Camara
11,5,5,5,2,1,22,5,3,1,0,0,0,5,0,Jabari Smith Jr.
14,1,3,9,0,2,17,3,1,1,1,1,0,5,1,Jabari Smith Jr.
15,2,4,6,1,1,14,8,0,1,0,1,0,5,2,Jabari Smith Jr.
4,4,6,1,1,1,9,1,5,2,0,1,0,5,0,Kyshawn George
10,2,2,4,1,0,8,6,2,0,0,1,0,5,1,Kyshawn George
5,1,9,2,1,2,11,1,2,1,0,2,0,5,2,Kyshawn George
8,2,2,6,1,1,15,4,3,0,0,0,0,5,0,Rui Hachimura
9,1,5,7,0,2,14,5,3,1,1,2,0,5,1,Rui Hachimura
14,2,1,7,1,0,9,3,3,0,1,0,0,5,2,Rui Hachimura
7,2,1,5,1,0,9,4,0,0,0,1,0,5,0,Moussa Diabate
3,1,1,0,0,0,6,5,0,2,0,2,0,5,1,Moussa Diabate
4,2,1,2,0,0,13,6,0,1,1,3,0,5,2,Moussa Diabate
7,2,4,2,2,0,11,2,1,1,2,2,0,6,0,Amen Thompson
7,1,3,3,0,1,15,4,4,1,0,2,0,6,1,Amen Thompson
9,1,4,5,1,1,15,1,2,0,0,3,0,6,2,Amen Thompson
13,5,9,3,5,2,12,3,0,0,0,2,0,6,0,Trey Murphy III
11,2,4,3,1,3,13,6,1,3,1,1,0,6,1,Trey Murphy III
14,1,3,6,1,0,11,1,1,4,0,0,0,6,2,Trey Murphy III
3,1,1,1,0,0,4,4,0,3,0,0,0,6,0,Dyson Daniels
3,2,2,0,0,0,4,5,4,1,0,0,0,6,1,Dyson Daniels
4,1,3,2,0,1,2,5,1,4,0,2,0,6,2,Dyson Daniels
21,5,7,8,3,1,16,7,5,2,0,2,0,6,0,Norman Powell
16,4,4,8,4,1,31,4,3,1,0,8,0,6,1,Norman Powell
18,3,5,8,3,0,28,6,1,1,0,3,0,6,2,Norman Powell
11,4,1,4,4,1,17,3,7,0,1,0,0,6,0,Immanuel Quickley
10,3,6,3,3,1,9,3,4,1,0,2,0,6,1,Immanuel Quickley
6,3,6,2,2,1,18,5,3,1,0,2,0,6,2,Immanuel Quickley
11,1,3,3,0,0,8,16,1,1,1,1,0,6,0,Toumani Camara
12,1,7,6,1,2,10,3,1,0,0,1,0,6,1,Toumani Camara
8,1,7,6,0,1,10,4,3,2,2,1,0,6,2,Toumani Camara
13,2,7,8,2,0,15,9,0,0,1,1,0,6,0,Jabari Smith Jr.
13,1,2,7,0,1,10,7,0,0,1,0,0,6,1,Jabari Smith Jr.
13,3,4,6,2,0,18,8,1,1,1,0,0,6,2,Jabari Smith Jr.
10,1,5,5,0,0,6,5,3,1,1,2,0,6,0,Kyshawn George
5,1,4,4,1,1,17,5,3,1,4,1,0,6,1,Kyshawn George
7,2,7,4,2,1,16,3,4,0,0,2,0,6,2,Kyshawn George
10,1,4,5,0,2,9,3,3,0,0,0,0,6,0,Rui Hachimura
5,4,8,3,1,3,11,2,5,1,0,2,0,6,1,Rui Hachimura
9,3,5,6,2,1,9,5,1,0,1,0,0,6,2,Rui Hachimura
3,3,1,0,3,0,8,3,0,0,2,1,0,6,0,Moussa Diabate
2,2,1,2,1,0,7,5,0,0,0,2,0,6,1,Moussa Diabate
9,5,1,4,2,0,4,9,0,0,0,0,0,6,2,Moussa Diabate
17,4,3,6,3,0,16,6,4,0,1,1,0,7,0,Amen Thompson
8,4,1,2,3,0,14,5,6,0,0,2,0,7,1,Amen Thompson
16,1,3,9,1,0,11,4,3,1,1,2,0,7,2,Amen Thompson
17,2,1,7,1,1,13,11,1,0,0,1,1,7,0,Trey Murphy III
9,3,8,3,2,1,20,5,2,1,2,2,0,7,1,Trey Murphy III
