player,has_model,fg_pct,fga,pts,reb,ast,team
Amen Thompson,True,0.4976595744680851,10.53191489361702,12.425531914893618,5.712765957446808,3.4361702127659575,BDE
Domantas Sabonis,False,,,,,,BDE
Trey Murphy III,True,0.3934228187919463,10.731543624161073,12.161073825503355,4.724832214765101,1.9261744966442953,BDE
Dyson Daniels,True,0.42004419889502764,4.2154696132596685,4.558011049723757,3.3535911602209945,2.320441988950276,BDE
Kevin Porter Jr.,False,,,,,,BDE
Norman Powell,True,0.4706806167400881,14.288546255506608,20.47797356828194,5.039647577092511,2.4559471365638768,BDE
Immanuel Quickley,True,0.40926057142857136,11.181714285714285,13.445714285714285,3.5794285714285716,4.992,BDE
Toumani Camara,True,0.41640566037735843,7.188679245283019,8.367924528301886,6.2924528301886795,2.518867924528302,BDE
Jabari Smith Jr.,True,0.4425032119914347,12.430406852248394,14.17558886509636,6.755888650963597,0.9507494646680943,BDE
Kyshawn George,True,0.34689855072463766,8.130434782608695,8.855072463768115,4.260869565217392,2.5072463768115942,BDE
Rui Hachimura,True,0.49007655502392344,8.789473684210526,11.490430622009569,4.552631578947368,1.8564593301435406,BDE
Derik Queen,False,,,,,,BDE
Moussa Diabate,True,0.5177623762376238,3.732673267326733,6.247524752475248,4.584158415841584,0.15841584158415845,BDE
Stephen Curry,True,0.44966243654822335,18.01269035532995,26.368020304568528,3.82994923857868,5.225888324873096,Burrito Barnes
Ivica Zubac,True,0.6576928702010969,8.56672760511883,13.016453382084096,7.987202925045704,1.8482632541133455,Burrito Barnes
Cooper Flagg,True,0.473,12.860000000000001,16.87,5.28,3.75,Burrito Barnes
Austin Reaves,True,0.5074654895666131,10.979133226324237,16.995184590690208,4.046548956661316,5.507223113964688,Burrito Barnes
Kawhi Leonard,True,0.44874455732946295,14.843251088534108,19.86066763425254,5.67489114658926,3.564586357039187,Burrito Barnes
Payton Pritchard,True,0.4005093399750934,8.851805728518057,10.363636363636363,3.281444582814446,2.1743462017434623,Burrito Barnes
Deandre Ayton,True,0.6378864426419467,10.659327925840092,14.48899188876014,9.035921205098493,1.0660486674391656,Burrito Barnes
Devin Vassell,True,0.41975371900826447,11.715702479338843,12.745454545454546,3.456198347107438,2.8925619834710745,Burrito Barnes
Dereck Lively II,True,0.6359999999999999,4.227544910179641,7.149700598802395,5.209580838323354,1.74251497005988,Burrito Barnes
Cason Wallace,False,,,,,,Burrito Barnes
Wendell Carter Jr.,True,0.4778895705521472,7.8638036809815945,11.584049079754601,8.505521472392639,1.6920245398773006,Burrito Barnes
Ajay Mitchell,True,0.4506756756756757,5.297297297297297,6.756756756756757,1.8918918918918919,1.7837837837837838,Burrito Barnes
Tim Hardaway Jr.,True,0.40434534534534533,12.456456456456456,15.135135135135135,3.369369369369369,1.8708708708708708,Burrito Barnes
