sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
66,1,9,1,B,133,295,27,62,36,136,343,131,73,38,13,41,1,184,358,63,102,49,166,496,186,109,43,21,62,1
67,3,8,0,B,128,314,39,68,31,117,311,125,75,18,16,28,1,170,359,82,124,30,138,499,185,108,34,23,60,3
68,2,9,0,B,124,276,42,71,31,118,320,144,76,31,10,45,3,187,391,79,113,47,138,496,174,96,42,12,80,2
69,3,8,0,B,135,274,39,70,27,108,319,137,75,27,6,37,0,181,377,97,135,49,136,505,159,101,23,26,66,3
70,1,10,0,B,117,271,32,67,28,124,299,136,61,18,13,35,1,199,409,78,125,46,141,535,179,98,26,27,54,3
71,3,8,0,B,115,282,40,75,43,135,349,132,69,20,12,32,0,180,386,70,104,38,136,509,187,96,39,15,55,3
72,2,9,0,B,125,291,35,62,26,123,333,138,82,36,10,53,0,177,386,84,120,47,125,501,172,108,18,19,55,2
73,1,10,0,B,105,262,33,64,33,112,358,146,79,20,18,50,1,183,367,80,110,51,138,526,194,81,31,34,63,4
74,1,10,0,B,121,289,35,65,31,133,350,132,60,22,16,36,0,183,393,87,122,47,125,483,174,109,28,21,67,2
75,1,10,0,B,106,258,44,76,31,139,340,138,68,26,8,41,0,193,391,80,103,39,139,474,184,93,34,26,59,1
76,3,8,0,B,118,261,38,70,45,141,358,158,72,31,13,42,1,185,382,84,117,40,142,521,195,84,38,25,54,3
77,2,9,0,B,104,273,52,84,31,132,342,152,71,33,9,46,1,187,361,91,126,42,149,521,213,99,30,19,50,5
78,1,10,0,B,121,288,47,83,31,103,360,141,75,14,15,28,0,199,399,81,117,50,146,501,183,107,22,23,58,2
79,2,8,1,B,131,295,41,66,44,137,314,176,61,23,9,37,1,182,393,86,116,49,136,500,164,95,34,26,51,1
80,1,10,0,B,107,267,48,84,36,149,368,167,70,22,11,35,3,189,414,71,91,46,149,523,175,124,39,16,50,5
