FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
18,1,4,6,1,1,15,4,3,1,1,0,0,1,0,Tim Hardaway Jr.
16,3,9,13,2,4,11,5,2,1,0,2,0,1,1,Tim Hardaway Jr.
16,4,5,5,4,3,13,1,3,1,0,2,0,1,2,Tim Hardaway Jr.
16,5,6,8,5,4,19,9,7,2,0,2,0,2,0,Stephen Curry
12,7,6,2,7,2,25,2,9,0,1,2,0,2,1,Stephen Curry
26,6,9,15,6,5,24,3,5,0,0,0,0,2,2,Stephen Curry
6,2,1,5,1,0,7,6,2,0,2,4,0,2,0,Ivica Zubac
7,1,1,4,1,0,10,9,1,1,0,3,0,2,1,Ivica Zubac
8,4,1,6,4,0,3,9,1,0,2,1,0,2,2,Ivica Zubac
17,6,2,6,5,2,12,4,1,1,1,4,0,2,0,Cooper Flagg
13,6,1,5,6,0,18,6,1,2,2,1,0,2,1,Cooper Flagg
13,3,7,8,3,3,21,8,2,1,1,1,0,2,2,Cooper Flagg
11,2,4,6,1,2,15,7,5,0,0,3,0,2,0,Austin Reaves
6,4,8,4,4,1,13,6,4,1,1,6,0,2,1,Austin Reaves
12,5,4,9,4,1,28,3,9,1,0,1,0,2,2,Austin Reaves
18,5,2,10,5,2,19,6,9,1,0,1,0,2,0,Kawhi Leonard
18,4,3,9,2,1,21,9,7,3,2,3,0,2,1,Kawhi Leonard
12,11,7,4,8,4,19,8,5,1,0,2,0,2,2,Kawhi Leonard
12,1,5,5,0,2,12,4,2,0,0,1,0,2,0,Payton Pritchard
15,2,3,8,0,0,3,8,0,3,0,1,0,2,1,Payton Pritchard
12,2,9,6,0,0,10,2,2,0,1,2,0,2,2,Payton Pritchard
11,1,1,7,0,0,14,10,0,1,0,3,1,2,0,Deandre Ayton
11,2,1,6,0,0,21,6,0,0,1,0,0,2,1,Deandre Ayton
6,2,1,3,1,0,12,4,2,0,0,2,0,2,2,Deandre Ayton
9,1,5,6,0,2,15,2,4,2,0,1,0,2,0,Devin Vassell
14,2,3,5,1,0,14,8,2,0,0,1,0,2,1,Devin Vassell
12,1,4,2,0,1,19,1,3,3,2,0,0,2,2,Devin Vassell
2,1,1,1,0,1,3,5,0,0,0,0,0,2,0,Dereck Lively II
6,4,1,2,3,1,10,9,1,0,0,1,0,2,1,Dereck Lively II
3,1,1,3,0,1,9,5,1,1,2,3,0,2,2,Dereck Lively II
12,3,2,4,0,0,14,10,5,1,1,2,1,2,0,Wendell Carter Jr.
6,5,1,2,5,0,12,12,3,0,0,1,1,2,1,Wendell Carter Jr.
9,4,4,3,3,1,15,3,0,0,0,1,0,2,2,Wendell Carter Jr.
4,1,2,3,1,1,10,1,4,0,0,2,0,2,0,Ajay Mitchell
7,2,1,3,0,0,7,4,4,0,0,0,0,2,1,Ajay Mitchell
3,1,1,1,1,1,11,1,2,1,0,1,0,2,2,Ajay Mitchell
14,1,9,3,0,3,14,1,1,1,0,0,0,2,0,Tim Hardaway Jr.
15,3,7,2,3,2,10,6,0,0,0,2,0,2,1,Tim Hardaway Jr.
12,5,2,5,3,1,16,1,2,0,0,1,0,2,2,Tim Hardaway Jr.
24,5,8,10,5,3,32,2,4,0,1,4,0,3,0,Stephen Curry
14,6,21,2,6,2,29,1,6,4,0,5,0,3,1,Stephen Curry
19,7,9,6,7,3,30,8,4,4,0,5,0,3,2,Stephen Curry
9,5,1,4,3,0,12,5,2,1,1,3,0,3,0,Ivica Zubac
9,3,1,6,2,0,10,9,2,0,0,2,0,3,1,Ivica Zubac
10,1,1,9,1,0,16,9,1,0,2,0,0,3,2,Ivica Zubac
12,1,6,3,0,1,16,5,4,1,1,1,0,3,0,Cooper Flagg
11,4,2,8,3,2,19,8,4,2,0,3,0,3,1,Cooper Flagg
12,1,3,6,1,2,19,5,3,0,0,4,0,3,2,Cooper Flagg
10,4,2,3,3,0,23,2,7,0,0,2,0,3,0,Austin Reaves
12,5,6,4,5,2,21,1,2,1,0,3,0,3,1,Austin Reaves
11,2,3,5,1,0,16,5,12,1,0,3,1,3,2,Austin Reaves
18,3,11,10,3,3,26,2,2,0,0,2,0,3,0,Kawhi Leonard
13,2,3,9,1,2,27,7,3,2,1,0,0,3,1,Kawhi Leonard
14,4,5,8,4,2,17,5,2,1,0,1,0,3,2,Kawhi Leonard
13,1,10,2,1,2,9,3,3,0,0,2,0,3,0,Payton Pritchard
10,1,1,3,0,0,10,2,2,1,0,0,0,3,1,Payton Pritchard
6,3,6,2,3,2,11,4,5,1,0,3,0,3,2,Payton Pritchard
11,1,1,7,1,0,13,8,1,0,1,2,0,3,0,Deandre Ayton
13,3,1,7,2,0,17,5,1,0,0,1,0,3,1,Deandre Ayton
12,1,1,7,0,0,10,8,0,0,1,1,0,3,2,Deandre Ayton
15,1,7,6,0,2,10,3,0,2,0,1,0,3,0,Devin Vassell
6,1,8,1,0,0,16,5,4,0,1,1,0,3,1,Devin Vassell
13,1,2,6,1,0,16,8,3,1,0,1,0,3,2,Devin Vassell
4,3,1,4,2,1,5,6,1,0,1,1,0,3,0,Dereck Lively II
8,1,1,5,0,1,5,4,1,0,1,3,0,3,1,Dereck Lively II
3,3,1,1,1,1,9,5,2,1,0,0,0,3,2,Dereck Lively II
11,1,1,8,1,0,12,8,1,2,0,1,0,3,0,Wendell Carter Jr.
6,9,3,3,6,0,13,5,3,0,1,0,0,3,1,Wendell Carter Jr.
6,6,4,3,3,0,15,13,1,0,0,2,1,3,2,Wendell Carter Jr.
9,1,1,4,0,0,8,3,2,1,0,2,0,3,0,Ajay Mitchell
3,1,1,1,0,0,9,3,1,1,0,0,0,3,1,Ajay Mitchell
7,1,1,3,0,0,10,1,1,2,0,2,0,3,2,Ajay Mitchell
14,2,5,6,1,2,16,2,1,2,0,1,0,3,0,Tim Hardaway Jr.
8,2,6,6,1,2,8,1,3,0,1,1,0,3,1,Tim Hardaway Jr.
