matchup,team,category,actual,sim_mean,sim_std,z_score,abs_z
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,3PM,38.0,35.63,8.978479826785824,0.2639645068789363,0.2639645068789363
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,3PM,54.0,41.824,8.563003211490697,1.4219310327550763,1.4219310327550763
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,PTS,444.0,477.26,51.25848612668931,-0.6488681682442851,0.6488681682442851
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,PTS,462.0,533.0,49.38149450958324,-1.4377855653238958,1.4377855653238958
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,REB,153.0,165.006,18.702244891990908,-0.6419550203377712,0.6419550203377712
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,REB,192.0,191.47,19.528878616039375,0.027139295113683785,0.027139295113683785
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,AST,106.0,110.632,15.624742429877044,-0.2964528868740178,0.2964528868740178
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,AST,95.0,104.676,12.678447223536484,-0.7631849412944917,0.7631849412944917
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,STL,39.0,26.248,6.967818596949837,1.8301280124574695,1.8301280124574695
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,STL,21.0,28.59,6.913023940360687,-1.097927631305728,1.097927631305728
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,BLK,9.0,16.3,5.209030619990633,-1.4014123802584073,1.4014123802584073
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,BLK,21.0,27.54,7.129964936800181,-0.9172555626809367,0.9172555626809367
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,TO,54.0,55.968,9.111035945489403,-0.21600178198992842,0.21600178198992842
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,TO,56.0,46.028,8.692710509386586,1.1471680771184096,1.1471680771184096
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,DD,9.0,4.524,1.643600924798961,2.7232888059779397,2.7232888059779397
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,DD,9.0,5.916,2.024090907049384,1.523646981101109,1.523646981101109
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,FG%,0.43490304709141275,0.42957153002543613,0.04100341354317916,0.13002617600025423,0.13002617600025423
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,FG%,0.44970414201183434,0.4963427137968282,0.0477383576511815,-0.9769622182182378,0.9769622182182378
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,FT%,0.773109243697479,0.7085571520512455,0.07448793721402223,0.8666113475630215,0.8666113475630215
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,FT%,0.7878787878787878,0.7749198316363636,0.06219284213074554,0.20836732650328427,0.20836732650328427
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,Hardwood Hustlers,3P%,0.2695035460992908,0.23390690817813464,0.053333518394665894,0.6674346450902122,0.6674346450902122
Hardwood Hustlers vs TEAM TOO ICEY BOY 12,TEAM TOO ICEY BOY 12,3P%,0.40298507462686567,0.31714898047305845,0.06224497600885466,1.3790043736477078,1.3790043736477078
BDE vs Burrito Barnes,BDE,3PM,48.0,41.412,7.9514939476805235,0.8285235508381091,0.8285235508381091
BDE vs Burrito Barnes,Burrito Barnes,3PM,61.0,43.69,8.725015759298088,1.9839505712700924,1.9839505712700924
BDE vs Burrito Barnes,BDE,PTS,453.0,442.67,42.99229116946432,0.24027563358467768,0.24027563358467768
BDE vs Burrito Barnes,Burrito Barnes,PTS,636.0,565.972,50.796645716031286,1.3785949645470266,1.3785949645470266
BDE vs Burrito Barnes,BDE,REB,197.0,190.458,17.83054222394821,0.36689854508257397,0.36689854508257397
BDE vs Burrito Barnes,Burrito Barnes,REB,227.0,196.996,22.623438819065505,1.3262351599136488,1.3262351599136488
BDE vs Burrito Barnes,BDE,AST,92.0,104.702,13.973302973885595,-0.9090191505715215,0.9090191505715215
BDE vs Burrito Barnes,Burrito Barnes,AST,129.0,112.408,14.377118487374306,1.1540560102200421,1.1540560102200421
BDE vs Burrito Barnes,BDE,STL,39.0,34.45,7.4591889639558,0.6099858874720094,0.6099858874720094
BDE vs Burrito Barnes,Burrito Barnes,STL,42.0,39.656,7.862166622502985,0.29813664763743836,0.29813664763743836
BDE vs Burrito Barnes,BDE,BLK,15.0,15.348,5.2932878251612205,-0.06574363826312458,0.06574363826312458
BDE vs Burrito Barnes,Burrito Barnes,BLK,19.0,21.704,5.799688267484728,-0.4662319551138049,0.4662319551138049
BDE vs Burrito Barnes,BDE,TO,48.0,51.546,9.09218807548546,-0.3900051308398246,0.3900051308398246
BDE vs Burrito Barnes,Burrito Barnes,TO,71.0,62.14,9.647611103273183,0.9183620592867836,0.9183620592867836
BDE vs Burrito Barnes,BDE,DD,9.0,4.098,1.7298543291271666,2.8337646225236806,2.8337646225236806
BDE vs Burrito Barnes,Burrito Barnes,DD,11.0,4.486,1.7532267394721084,3.7154350052642635,3.7154350052642635
BDE vs Burrito Barnes,BDE,FG%,0.46355685131195334,0.4768837827034566,0.040027766101346895,-0.3329421721352275,0.3329421721352275
BDE vs Burrito Barnes,Burrito Barnes,FG%,0.49019607843137253,0.49746849195186815,0.043619581828454906,-0.16672359558824382,0.16672359558824382
BDE vs Burrito Barnes,BDE,FT%,0.75,0.7044419584087571,0.07611601435586847,0.5985342503384822,0.5985342503384822
BDE vs Burrito Barnes,Burrito Barnes,FT%,0.8223684210526315,0.7465051880424035,0.061977322184556226,1.2240482540423785,1.2240482540423785
BDE vs Burrito Barnes,BDE,3P%,0.34782608695652173,0.2795094716261757,0.05100680511885355,1.339362760932743,1.339362760932743
BDE vs Burrito Barnes,Burrito Barnes,3P%,0.3567251461988304,0.2567698560877253,0.047147290319526955,2.120064364965354,2.120064364965354
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,3PM,39.0,36.264,7.954011817944452,0.34397736169155696,0.34397736169155696
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,3PM,62.0,48.126,9.769653218001139,1.4201118187528265,1.4201118187528265
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,PTS,581.0,580.748,45.66657963981976,0.005518258691312563,0.005518258691312563
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,PTS,562.0,521.682,48.119485408719825,0.8378726342882686,0.8378726342882686
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,REB,180.0,181.084,16.590387096146973,-0.06533904204391688,0.06533904204391688
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,REB,197.0,249.576,21.42120967639316,-2.4543898684648227,2.4543898684648227
IN MAMBA WE TRUST vs Cold Beans,IN MAMBA WE TRUST,AST,118.0,121.88,15.576058551507822,-0.2491002449155789,0.2491002449155789
IN MAMBA WE TRUST vs Cold Beans,Cold Beans,AST,133.0,121.784,15.981406195951594,0.7018155888460696,0.7018155888460696
