,Team Role,Team ID,Opponent ID,Player Name,Pro Team,gameDate,Injury Status,Injured,week,week_start_dt,week_end_dt
48,Home,11,16,Kevin Durant,Phoenix Suns,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
247,Home,11,16,Walker Kessler,Utah Jazz,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
367,Home,11,16,Jaden McDaniels,Minnesota Timberwolves,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
647,Away,16,11,Immanuel Quickley,Washington Wizards,2024-11-26,OUT,True,Week 6,2024-11-25,2024-12-01
688,Away,16,11,Bradley Beal,Phoenix Suns,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
728,Away,16,11,Jusuf Nurkic,Phoenix Suns,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
1207,Home,10,18,Donte DiVincenzo,Minnesota Timberwolves,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
2087,Home,8,17,Anthony Edwards,Minnesota Timberwolves,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
2487,Home,8,17,Ochai Agbaji,Washington Wizards,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
2527,Home,8,17,Chris Boucher,Washington Wizards,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
3047,Away,17,8,Julius Randle,Minnesota Timberwolves,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
3727,Away,6,19,Lauri Markkanen,Utah Jazz,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
3966,Away,6,19,Jaime Jaquez Jr.,Miami Heat,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
4087,Away,6,19,John Collins,Utah Jazz,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
4128,Away,6,19,Royce O'Neale,Phoenix Suns,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
4206,Home,14,21,Jimmy Butler,Miami Heat,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
4328,Home,14,21,Devin Booker,Phoenix Suns,2024-11-26,ACTIVE,False,Week 6,2024-11-25,2024-12-01
