team_id,wins,losses,ties,win_pct,team_roster,rank
5,2082,118,0,0.9463636363636364,"Luka Doncic, Jalen Brunson, De'Aaron Fox...",1
1,2026,174,0,0.9209090909090909,"Nikola Jokic, Scottie Barnes, Chet Holmgren...",2
3,1781,419,0,0.8095454545454546,"Domantas Sabonis, Nikola Vucevic, Pascal Siakam...",3
8,1334,866,0,0.6063636363636363,"Anthony Davis, Stephen Curry, Bam Adebayo...",4
2,1308,892,0,0.5945454545454546,"Victor Wembanyama, Kevin Durant, Donovan Mitchell...",5
9,1065,1135,0,0.48409090909090907,"Cade Cunningham, LeBron James, LaMelo Ball...",6
4,925,1275,0,0.42045454545454547,"Giannis Antetokounmpo, Jalen Williams, Jalen Johnson...",7
12,765,1363,72,0.3477272727272727,"Devin Booker, James Harden, Franz Wagner...",8
10,610,1518,72,0.2772727272727273,"Karl-Anthony Towns, Alperen Sengün, Josh Giddey...",9
6,561,1639,0,0.255,"Shai Gilgeous-Alexander, Evan Mobley, Jaylen Brown...",10
11,384,1816,0,0.17454545454545456,"Trae Young, Paolo Banchero, Ivica Zubac...",11
7,287,1913,0,0.13045454545454546,"Anthony Edwards, Tyrese Maxey, Amen Thompson...",12
