team_id,wins,losses,ties,win_pct,team_roster,rank
1,2090,110,0,0.95,"Nikola Jokic, Chet Holmgren, Kevin Durant...",1
12,1939,261,0,0.8813636363636363,"Nikola Vucevic, James Harden, Miles Bridges...",2
6,1937,263,0,0.8804545454545455,"Luka Doncic, Tyrese Maxey, Jaylen Brown...",3
3,1173,919,108,0.5331818181818182,"Giannis Antetokounmpo, Jalen Brunson, Scottie Barnes...",4
2,994,1206,0,0.45181818181818184,"Shai Gilgeous-Alexander, Donovan Mitchell, De'Aaron Fox...",5
9,971,1229,0,0.44136363636363635,"Domantas Sabonis, Alperen Sengün, Josh Giddey...",6
7,959,1241,0,0.4359090909090909,"Cade Cunningham, Stephen Curry, LaMelo Ball...",7
8,846,1354,0,0.3845454545454545,"Anthony Davis, LeBron James, Amen Thompson...",8
10,686,1372,142,0.3118181818181818,"Karl-Anthony Towns, Paolo Banchero, Bam Adebayo...",9
5,604,1596,0,0.27454545454545454,"Anthony Edwards, Evan Mobley, Pascal Siakam...",10
11,476,1616,108,0.21636363636363637,"Trae Young, Devin Booker, Franz Wagner...",11
4,346,1854,0,0.1572727272727273,"Victor Wembanyama, Jalen Williams, Jalen Johnson...",12
