Team,Wins,Losses,Win_Pct,Rank
10,1654,546,0.7518181818181818,1
12,1515,685,0.6886363636363636,2
1,1358,842,0.6172727272727273,3
8,1340,860,0.6090909090909091,4
2,1332,868,0.6054545454545455,5
3,1260,940,0.5727272727272728,6
7,1111,1089,0.505,7
11,1005,1195,0.45681818181818185,8
9,902,1298,0.41,9
6,826,1374,0.37545454545454543,10
5,569,1631,0.2586363636363636,11
4,328,1872,0.14909090909090908,12
