Team,Wins,Losses,Win_Pct,Rank
1,1707,493,0.7759090909090909,1
9,1616,584,0.7345454545454545,2
8,1463,737,0.665,3
10,1455,745,0.6613636363636364,4
12,1232,968,0.56,5
11,1221,979,0.555,6
3,1155,1045,0.525,7
2,985,1215,0.44772727272727275,8
7,796,1404,0.3618181818181818,9
5,779,1421,0.35409090909090907,10
4,716,1484,0.32545454545454544,11
6,75,2125,0.03409090909090909,12
